,Functional grp name,SMARTS,Smiles
599,"N,N-Dialkyl aniline derivatives (2)",[CX4][NX3]([CX4])c1c[cH]c([#7])[cH]c1,CN(C)c1c[cH]c(N)[cH]c1
600,"N,N-Dialkyl aniline derivatives (3)",[CX4][NX3]([CX4])c1ccc(C=C)cc1,CN(C)c1ccc(C=C)cc1
601,p-Alkoxy-N-alkyl anilines,[CX4][NH]c1ccc(O[CX4])cc1,C[NH]c1ccc(OC)cc1
602,"p-Alkoxy-N,N-dialkyl anilines",[CX4]N([CX4])c1ccc(O[CX4])cc1,COc1ccc(N(C)C)cc1
603,"N,N-Dialkyl aniline derivatives (4)","[CX4]N([CX4])c1ccc([CX4][$([OH]),$(C=[C!H0]),$(N[CX4])])cc1",*Cc1ccc(N(C)C)cc1
604,"N,N-Dialkyl aniline derivatives (5)","[CX4]N([C!H0])c1[cH][cH]c([$([C!H0!H1]),$([C!H0][C!H0])])[cH][cH]1",*c1[cH][cH]c(N(C)C)[cH][cH]1
605,"N,N-Dialkyl aniline derivatives (6)","[CX4]N([C!H0])c1[cH]c([CX4])c([$([C!H0!H1]),$([C!H0][C!H0])])[cH][cH]1",*c1[cH][cH]c(N(C)C)[cH]c1C
606,Phosphoric anhydrides,P(=O)OP(=O),O=POP=O
607,Five-membered heterocycles (1),"C1(=C)C(=O)[#7,#8,#15,#16]N=C1",C=C1C=N*C1=O
608,Thioxo-thiazolidinones,C1(=S)NC(=O)C(=[#6])S1,C=C1SC(=S)NC1=O
609,Six-membered heterocycles,"[#7,#8,#15,#16]~C1~[#7,#8,#15,#16]~C[#7,#8,#15,#16][CX3](=[#7,#8,#15,#16])[CX3]1(=[C!H0])",*~C1C(=C)C(=*)*C~*~1
610,Glutarimides,C1CC(=O)NC(=O)C1,O=C1CCCC(=O)N1
611,Aliphatic chain,[CD1][CD2][CD2][CD2][CD2][CX4],CCCCCC
612,o-Substituted phenols (1),[OH]c1c(C=NN)cccc1,NN=Cc1ccccc1[OH]
613,p-Substituted phenols,[OH]c1ccc(C=NN)cc1,NN=Cc1ccc([OH])cc1
614,"1,2-Diimines, 1,2-diketones and their thio- and phospho-analogues","[#6][#6](=[#7,#8,#15,#16])[#6](=[#7,#8,#15,#16])[#6,Sv6]",*C(=*)C(=*)C
615,Indolones,O=C1[#7]c2ccccc2C1=N[#7],NN=C1C(=O)Nc2ccccc21
616,NH-Indoles,"[nH]1c([$([CH2]),$([C!H0]N),$([CD3]([CH2])[NH][CH2]),$([CD3]([CH2])[CD2][NH][CH2]),$([#6]=,:[#7,#8,#15,#16])])c([CX4!H0])c2[cH]cccc12",*c1[nH]c2ccc[cH]c2c1C
617,N-Alkyl substituted indoles,"n1([CH2])c([$([CH2]),$([C!H0]N),$([CD3]([CH2])[NH][CH2]),$([CD3]([CH2])[CD2][NH][CH2]),$([#6]=,:[#7,#8,#15,#16])])c([CX4!H0])c2[cH]cccc12",*c1c(C)c2[cH]cccc2n1[CH2]
618,Macrocycles,"[*r10,*r11,*r12,*r13,*r14,*r15,*r16,*r17,*r18,*r19,*r20,*r21,*r22,*r23,*r24,*r25,*r26,*r27,*r28,*r29,*r30]",*
619,o-Substituted phenols (2),[OH]c1c([CX4][#7])cccc1,NCc1ccccc1[OH]
620,N-Allophanoylamides and their thio analogues,"NC(=[O,S])NC(=[O,S])NC=[O,S]",*=CNC(=*)NC(=*)N
621,Tetrahydrofuranyltetrahydropyrans,C1COC(C1)C1CCCCO1,C1CCC(C2CCCO2)OC1
622,Octahydroisoindolones,[C!H0]1NC(=O)C2CCCCC12,O=C1NCC2CCCCC21
623,N-Phenylpyrrole derivatives,N1(c2[!#1]cccc2)C([CX4])=C[C!H0]=C1[CX4],CC1=CC=C(C)N1c1cccc*1
624,"Quinones, quinone-(di)imines and their thio- and phospho-analogues","[#7,#8,#15,#16]=[#6]1-,:[#6]=,:[#6]-,:[#6](=[#7,#8,#15,#16])-,:[#6]=,:[#6]1",*=C1C=CC(=*)C=C1
625,Five-membered heterocycles (2),"[#7]=C1S[CH]=C([$([CH2]),$(c:c)])N1",*C1=[CH]SC(=N)N1
626,Five-membered heterocycles (3),"[#7]=C1SC([$([CH2]),$(C=O)])=C([$([CH2]),$(c:c)])N1",*C1=C(*)SC(=N)N1
627,Tert-butyl carbon atom,c[CX4](c)c,cC(c)c
628,Acethylenes,"[CH2,CH3]C#C[CH2,CH3]",*C#C*
629,α-Halonitriles,"[F,Cl,Br,I][CX4][CX2]#[NX1]",*CC#N
630,Azide tautomers,[#6]-[NX2-][NX2+]#[NX1;0],C[N-][N+]#N
631,Benzthiozolium like compounds,"[#7,#8,#16]1-,:[#6]=,:[#6]-,:[#7+]2=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6]21",*1C=C[N+]2=**=**=C12
632,Cyanates,"[NX2]=[CX2]=[OX1,SX1]",*=C=N
633,Di-carbonyls,"[#1,#6][CX3](=[OX1])[CX3](=[OX1])[#1,#6]",*C(=O)C(*)=O
634,Haloalkyl,"[C!H0]([#1,#6,#7,#8,#16])[CX4]([#1,Cl,Br,I])([#1,Cl,Br,I])[Cl,Br,I]",*CC(*)(*)*
635,"Haloalkyl group attached to S, N or O atoms","[CX4]([#1,Cl,Br,I])([#1,Cl,Br,I])([Cl,Br,I])[#7,#8,#16]",*C(*)(*)*
636,Haloethylenes,"[CX3!H0]=[CX3]([#1,Cl,Br,I])[Cl,Br,I]",*C(*)=C
637,Halopyridines,"c1([F,Cl,Br,I])n[c,n][c,n][c,n][c,n]1",*c1*:*:*:*n1
638,Heptanes,"[CH3][CH2][CH2][CH2][CH2][CH2][CH2,CH3]",*[CH2][CH2][CH2][CH2][CH2][CH3]
639,N-Oxides (six-membered rings),"[$([OX1-][#7+]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]1),$([OX1]=[#7v5]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]1)]",*
640,N-Oxides (five-membered rings),"[$([OX1-][#7+]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7,#8,#16]1),$([OX1]=[#7v5]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7,#8,#16]1)]",*
641,Phosphorus cations,[#15+],[PH4+]
642,Peroxide like compounds,"O[F,Cl,Br,I]",*O
643,Phosphates,[Pv5X4](=[OX1])([OX2])([OX2])[#6],CP(O)(O)=O
644,Double P=O bonds,[#15]=O,O=P
645,Pyridinium like compounds,"[#6][#7+]1=,:[#6]-,:[#6,#7]=,:[#6]-,:[#6,#7]=,:[#6]1",C[N+]1=C*=C*=C1
646,Quinolizinium like compounds,"[#6,#7]1=,:[#6,#7]-,:[#6,#7]=,:[#7+]2-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6]2=,:[#6,#7]1",*1=**=[N+]2*=**=*C2=*1
647,Sulfates,"[Sv6X4](=[OX1])(=[OX1])([#8])[#6,#8]",*S(O)(=O)=O
648,Thio aldehydes,"[#6,#1][CX3]([H])=[SX1]",*C([H])=S
649,Thio halogens,"[#16][F,Cl,Br,I]",*S
650,Thioalcohols,"[#6&!$(C(=[OX1,SX1,NX2]))][SX2H1]",C[SH]
651,Thiozolium like compounds,"[#6][#7+]1=,:[#6]-,:[#7,#8,#16]-,:[#6]=,:[#6]1",C[N+]1=C*C=C1
652,Acyl Halides,"[Br,Cl,F,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]",*C(*)=O
653,Sulphonyl Halides,"[#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]",*S(C)(=O)=O
654,Alkyl Halides,"[CX4][F,Cl,Br,I]",*C
655,Activated Halides,"[$(c([F,Cl,Br,I])c[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$(c([F,Cl,Br,I])aac[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$(c([F,Cl,Br,I])n),$(c([F,Cl,Br,I])aan)]",*
656,Anhydrides,[CX3](=[OX1])[OX2][CX3](=[OX1]),O=COC=O
657,Aldehydes (including aminoformyl moieties),"[$([#1,#6][CX3]([H])=[OX1]),$([#7]([#1,#6])([#1,#6])[CX3H1]=[OX1])]",*
658,Nitrosos,[NX2]=[OX1],N=O
659,Picrates,"c1([OH1,O-])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])",*c1cc(*)c(*)c(*)c1
660,Perchlorates (periodates),"[$([Clv7X4](=[OX1])(=[OX1])(=[OX1])[OX2,O-]),$([Iv7X4](=[OX1])(=[OX1])(=[OX1])[OX2,O-])]",*
661,Simple anilines and phenols,"[$(c1([NX3]([#1,#6])[#1,#6])ccccc1),$(c1([OH1])ccccc1)]",*
662,Vinyl ketones (Michael acceptors),[CX3]([!R])([!R])=[CX3][CX3](=[OX1])[!$([OH1])!$([OX2][CH2])!$([NH2])!$([CX2]#[NX1])!a],*C(=O)C=C(*)*
663,Metals,[!#1;!#6;!#7;!#8;!#9;!#11;!#12;!#15;!#16;!#17;!#19;!#20;!#35;!#53],*
664,Non-organic chemistry atoms,[!#6!#1!#7!#8!#9!#17!#35!#53!#15!#14!#16],*
665,Atoms not supported in ALOGPS program,[!#1!#6!#7!#8!#16!#15!#9!#17!#35!#53],*
666,Perfluoroalkylated compounds (PFCs),C(F)(F)C(F)(F),FC(F)C(F)F
667,Carbonyl compouns: aldehydes or ketones,"[$([H][CX3]([#1,#6])=[OX1]),$([#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)])]",*
668,Thiocarbonyl compounds: thioaldehydes or thioketones,"[$([#1,#6][#6X3](=[SX1])[#1,#6]),$([#6]=[CX2]=[Sv2X1])]",*
669,Thioaldehydes,"[#1][CX3]([#1,#6])=[SX1]",*C([H])=S
670,Thioketones,[#6&!$(C#N)][CX3](=[SX1])[#6&!$(C#N)],CC(C)=S
671,Hydrazones,"[CX3]([#1,#6])([#1,#6])=[NX2][#7X3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",*C(*)=NN(*)*
672,Semicarbazones,"[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",*C(*)=NN(*)C(=O)N(*)*
673,Thiosemicarbazones,"[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",*C(*)=NN(*)C(=S)N(*)*
674,Oximes,"[#1,#6][CX3]([#1,#6])=[NX2][OH1]",*C(*)=N[OH]
675,Oxime ethers,"[#1,#6][CX3]([#1,#6])=[NX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",*C(*)=NOC
676,Ketene acetal derivatives,"[#1,#6][CX3]([#1,#6])=[CX3]([!#6!#1])[!#6!#1]",*C(*)=C(*)*
677,Carbonyl hydrates,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OH1]",[OH]*[OH]
678,Hemiacetals / Hemiketals,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",CO*[OH]
679,Acetals / Ketals,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#6&!$([CX3]=[OX1,SX1,NX2])])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",CO*OC
680,Hemiaminals,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,*])[#1,*]",*O*N(*)*
681,Thiohemiaminals,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[NX3]([#1,*])[#1,*]",*S*N(*)*
682,Thioacetals / Thioketals,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[SX2,OX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)]",C**SC
683,Enols,"[CX3]([#1,#6])([#1,#6])=[CX3]([OH1])[#1,#6]",*C(*)=C(*)[OH]
684,Enolethers,"[CX3]([#1,#6])([#1,#6])=[CX3]([OX2][#6&!$([CX3]([OX2])=[OX1,SX1,NX2,C])])[#1,#6]",*C(*)=C(*)OC
685,Hydroxy compounds: alcohols or phenols,"[#6&!$([CX4]([OH1])[#8,#16,#7,#15])&!$([CX3]([OH1])=[OX1,SX1,NH2,C])][OH1]",C[OH]
686,Alcohols,"[$([CX4][OH1])&!$(C([OH1])[#7,#8,#15,#16,F,Cl,Br,I])]",*
687,Primary alcohols,"[$([#6][CH2][OH1]),$([CH3][OH1])]",*
688,Secondary alcohols,[OH1][CX4H1]([#6])[#6],C[CH](C)[OH]
689,Tertiary alcohols,[CX4]([OH1])([#6])([#6])[#6],CC(C)(C)[OH]
690,"1,2-Diols","[CX4]([OH1])([#1,#6])([#1,#6])[CX4]([OH1])([#1,#6])([#1,#6])",*C(*)([OH])C(*)(*)[OH]
691,"1,2-Aminoalcohols","[CX4]([#1,#6])([#1,#6])([OH1])[CX4]([#1,#6])([#1,#6])[NH2,$([NH1]([CX4][CX4][OH1])[#6&!$([CX3]=[OX1,SX1,NX2,C])])]",*C(*)(*)C(*)(*)[OH]
692,Phenols,c[OH1],c[OH]
693,Diphenols,"[$(c([OH1])c([OH1])),$(c([OH1])[aR1]c([OH1])),$(c1([OH1])aac([OH1])aa1)]",*
694,Enediols,"[CX3]([#1,#6])([OH1])=[CX3]([#1,#6])([OH1])",*C([OH])=C(*)[OH]
695,Dialkylethers,"[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2][CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))]",COC
696,Alkylarylethers,"[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2]c",COc
697,Diarylethers,c[OX2&!$([OX2r3])]c,cOc
698,Hydroperoxides,"[#1,#6][OX2][OX2H1]",*O[OH]
699,Hydrazine derivatives,"[$([NX4]([#1,#6])([#1,#6])([#1,#6])),$([NX3]([#1,#6])([#1,#6])),$([NX2]=[#1,#6])][$([NX4]([#1,#6])([#1,#6])([#1,#6])),$([NX3]([#1,#6])([#1,#6])),$([NX2]=[#1,#6])]",**
700,Primary aliphatic amines,"[NX3H2][CX4&!$([CX4]([NH2])[O,N,S,P])]",C[NH2]
701,Primary aromatic amines,[NX3H2]c,c[NH2]
702,Secondary aliphatic amines,"[NX3H1]([CX4&!$([CX4]([NX3H1])[O,S,N,P])])[CX4&!$([CX4]([NX3H1])[O,S,N,P])]",C[NH]C
703,Secondary mixed amines (aryl alkyl),"c[NX3H1][CX4&!$([CX4]([NX3H1])[O,N,S,P])]",c[NH]C
704,Secondary aromatic amines,[NX3H1](c)c,c[NH]c
705,Tertiary aliphatic amines,"[NX3]([CX4&!$([CX4]([NX3])[O,S,N,P])])([CX4&!$([CX4]([NX3])[O,S,N,P])])[CX4&!$([CX4]([NX3])[O,S,N,P])]",CN(C)C
706,Tertiary mixed amines (aryl alkyl),"c[NX3]([CX4&!$([CX4]([NX3])[O,N,S,P])])[c,CX4&!$([CX4]([NX3]c)[O,S,N,P])]",*N(c)C
707,Quaternary ammonium salts,"[NX4,NX4+]([#6])([#6])([#6])[#6]",C*(C)(C)C
708,"Halogen derivatives (alkyl, alkenyl, aryl)","[CX4,CX3,c;!$([#6]=[OX1])][F,Cl,Br,I]",**
709,Aryl fluorides,aF,*F
710,Aryl chlorides,aCl,*Cl
711,Aryl bromides,aBr,*Br
712,Aryl iodides,aI,*I
713,Organolithium compounds,[Li][#6],[Li]C
714,Organomagnesium compounds,[Mg][#6],C[Mg]
715,Carboxylic acid derivatives,"[#1,#6][CX3](=[OX1])[!#1!#6!$([SH1,SX2])]",*C(*)=O
716,Carboxylic acid salts,"[#1,#6][CX3](=[OX1])[OX1-]",*C(=O)[O-]
717,Carboxylic acid amides,"[#1,#6][CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX1])])[#1,#6&!$([CX3]=[OX1,SX1,NX1])]",*C(=O)N(*)*
718,Carboxylic acid primary amides,"[#1,#6][CX3](=[OX1])[NX3H2]",*C([NH2])=O
719,Carboxylic acid secondary amides,"[#1,#6][CX3](=[OX1])[NX3H1][#6&!$([CX3]=[OX1,SX1,NX2])]",*C(=O)[NH]C
720,Carboxylic acid tertiary amides,"[#1,#6][CX3](=[OX1])[NX3]([#6&!$([CX3]=[OX1,SX1,NX2])])[#6&!$([CX3]=[OX1,SX1,NX2])]",*C(=O)N(C)C
721,Lactams,"[#6R][CX3R](=[OX1])[NX3R]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#6R&!$([CX3R]=[OX1,SX1,NX2])]",*N(C)C(C)=O
722,Carboxylic acid hydrazides,"[$([#6,#1][#6X3](=[OX1])[#7X3&!$([#7X3]([*]=[OX1,SX1])[#7X3]([*]=[OX1,SX1]))][#7X3]),$(C1(=O)[NX3][NX3]C(=O)cc1)]",*
723,Carboxylic acid azides,"[#1,#6][CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]",*C(*)=O
724,Hydroxamic acids,"[#1,#6][CX3](=[OX1])[NX3][OH1]",*C(=O)N[OH]
725,Carboxylic acid amidines,"[#1,#6][NX2]=[CX3]([#1,#6])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,N])]",*N=C(*)N(*)*
726,Carboxylic acid amidrazones,"[#1,#6][NX2]=[CX3]([#1,#6])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",*N=C(*)N(*)N(*)*
727,Nitriles,"[#1,#6&!$([CX3]=[OX1,SX1])][CX2]#[NX1]",*C#N
728,Acyl fluorides,"[#1,#6][CX3](=[OX1])F",*C(=O)F
729,Acyl chlorides,"[#1,#6][CX3](=[OX1])Cl",*C(=O)Cl
730,Acyl bromides,"[#1,#6][CX3](=[OX1])Br",*C(=O)Br
731,Acyl iodides,"[#1,#6][CX3](=[OX1])I",*C(=O)I
732,Acyl cyanides,"[#1,#6][CX3](=[OX1])[CX2]#[NX1]",*C(=O)C#N
733,Imido esters,"[#1,#6][CX3](=[NX2][#1,#6])[OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])]",*N=C(*)OC
734,Thiocarboxylic acid derivatives,"[$([#1,#6][CX3](=[SX1])[!#1!#6]),$([#1,#6][CX3](=[OX1])[SX2])]",*
735,Thiocarboxylic acids,"[$([#1,#6][CX3](=[SX1])[OH1,SH1]),$([#1,#6][CX3](=[OX1])[SH1])]",*
736,Thiocarboxylic acid esters,"[$([#1,#6][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([#1,#6][CX3](=[OX1])[SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]",*
737,Thiolactones,"[$([#6R][CX3R](=[SX1])[OX2R,SX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])]),$([#6R][CX3R](=[OX1])[SX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])])]",*
738,Thiocarboxylic acid amides,"[#1,#6][CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX1])])[#1,#6&!$([CX3]=[OX1,SX1,NX1])]",*C(=S)N(*)*
739,Thiolactams,"[#6R][CX3R](=[SX1])[NX3R]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#6R&!$([CX3R]=[OX1,SX1,NX2])]",*N(C)C(C)=S
740,Imidothioesters,"[#1,#6][CX3](=[NX2][#1,#6])[SX2][C&!$([CX3]=[OX1,SX1,NX2])]",*N=C(*)SC
741,Oxohetarenes,"[$(c(=[OX1])[$(n[#1,#6]),o,s]),$(c(=[OX1])a[$(n[#1,#6]),o,s]),$(c(=[OX1])aa[$(n[#1,#6]),o,s]),$(c(=[OX1])aaa[$(n[#1,#6]),o,s])]",*
742,Thioxohetarenes,"[$(c(=[SX1])[$(n[#1,#6]),o,s]),$(c(=[SX1])a[$(n[#1,#6]),o,s]),$(c(=[SX1])aa[$(n[#1,#6]),o,s]),$(c(=[SX1])aaa[$(n[#1,#6]),o,s])]",*
743,Iminohetarenes,"[$(c(=N)[$(n[#1,#6]),o,s]),$(c(=N)a[$(n[#1,#6]),o,s]),$(c(=N)aa[$(n[#1,#6]),o,s]),$(c(=N)aaa[$(n[#1,#6]),o,s])]",*
744,Orthocarboxylic acid derivatives,"[CX4&!$([CX4]([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I]))]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])([!#1!#6])([!#1!#6])[!#1!#6]",*C(*)(*)*
745,Carboxylic acid orthoesters,"[#1,#6][CX4]([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])[OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])]",*C(OC)(OC)OC
746,Carboxylic acid amide acetals,"[CH1,$([CX4][#6])]([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])[NX3]([#1,*])[#1,*]",*N(*)*(OC)OC
747,Carboxylic acid imides,[CX3](=[OX1])[NX3][CX3](=[OX1]),O=CNC=O
748,Carboxylic acid unsubstituted imides,[CX3](=[OX1])[NX3H1][CX3](=[OX1]),O=C[NH]C=O
749,Carboxylic acid substituted imides,[CX3](=[OX1])[NX3H0][CX3](=[OX1]),O=CNC=O
750,CO2 derivative (general),"[$([Cv4X4]([!#1!#6])([!#1!#6])([!#1!#6])[!#1!#6]),$([CX3](=[!#1!#6])([!#1!#6])[!#1!#6]),$([CX2](=[!#1!#6])=[!#1!#6]),$([CX2](#[!#1!#6])[!#1!#6])]",*
751,Carbonic acid derivatives,"[$([CX3](=[OX1])([!#1!#6])[!#1!#6])&!$([CX3](=[OX1])([#7,#16X2,#15,#5])[#8X2,#16X2,#7,#15,#5])]",*
752,Carbonic acid monoesters,"[OH1][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",COC(=O)[OH]
753,Carbonic acid diesters,"[#6&!$([CX3]=[OX1,SX1,NX2])][OX2][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",COC(=O)OC
754,Carbonic acid ester halides,"[#6][OX2][CX3](=[OX1])[F,Cl,Br,I]",*C(=O)OC
755,Thiocarbonic acid derivatives,"[$([CX3](=[SX1])([!#1!#6])[!#1!#6])&!$([CX3](=[SX1])([#7,#16X2,#15,#5])[#8X2,#16X2,#7,#15,#5]),$([CX3](=[OX1])([!#1!#6])[SX2])&!$([CX3](=[OX1])([#7,#15,#5])[#8X2,#16X2,#7,#15,#5])]",*
756,Thiocarbonic acid monoesters,"[$([OH1,SH1][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([OH1][CX3](=[OX1])[SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([SH1][CX3](=[SX1,OX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]",*
757,Thiocarbonic acid diesters,"[$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([#6&!$([CX3]=[OX1,SX1,NX2])][SX2][CX3](=[OX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]",*
758,Thiocarbonic acid ester halides,"[$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[SX1])[F,Cl,Br,I]),$([#6&!$([CX3]=[OX1,SX1,NX2])][SX2][CX3](=[OX1])[F,Cl,Br,I])]",*
759,Carbamic acid derivatives,"[NX3]([#1,*])([#1,*])[CX3](=[OX1])[!#1!#6!#16!$([Pv5])]",*C(=O)N(*)*
760,Carbamic acid,[OH1][CX3](=[OX1])[NX3],NC(=O)[OH]
761,Carbamic acid esters (urethanes),"[#6][OX2][CX3](=[OX1])[NH2,NH1,NX3]",*C(=O)OC
762,Carbamic acid halides,"[F,Cl,Br,I][CX3](=[OX1])[NX3]",*C(N)=O
763,Thiocarbamic acid derivatives,"[$([NX3&!$([NX3]([CX3]=[SX1])[CX3]=[OX1,SX1,NX2])][CX3](=[SX1])[!#1!#6!#7!$([Pv5])]),$([NX3&!$([NX3]([CX3]=[OX1])[CX3]=[OX1,SX1,NX2])][CX3](=[OX1])[SH1,SX2])]",*
764,Thiocarbamic acids,"[$([OH1,SH1][CX3](=[SX1])[NX3]),$([SH1][CX3](=[OX1])[NX3])]",*
765,Thiocarbamic acid esters,"[$([#6][OX2,SX2][CX3](=[SX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[CX3]=[OX1,SX1])]),$([#6][SX2][CX3](=[OX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[CX3]=[OX1,SX1])])]",*
766,Thiocarbamic acid halides,"[F,Cl,Br,I][CX3](=[SX1])[NX3]",*C(N)=S
767,Isoureas,"[NX3&!$([NX3]([CX3]=[OX1,SX1,NX2])([CX3]=[OX1,SX1,NX2]))]([#1,#6])([#1,#6])[CX3]([OX2])=[NX2][#1,#6]",*N=C(O)N(*)*
768,Isothioureas,"[NX3&!$([NX3]([CX3]=[OX1,SX1,NX2])([CX3]=[OX1,SX1,NX2]))]([#1,#6])([#1,#6])[CX3]([S&!$([SX2]([CX3]=N)C=C)])=[NX2][#1,#6]",*N=C(S)N(*)*
769,Guanidines,"N[CX3](=[NX2][#1,#6])N",*N=C(N)N
770,Semicarbazides,"[$([NX3][CX3](=[OX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[NX3][CX3]=[OX1,SX1])][NX3])&!$([NX3][CX3](=[OX1])[NX3]N=C)]",*
771,Thiosemicarbazides,"[$([NX3][CX3](=[SX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[NX3][CX3]=[OX1,SX1])][NX3])&!$([NX3][CX3](=[SX1])[NX3]N=C)]",*
772,Isonitriles,"[#6&!$([CX3]=[OX1,SX1])][$([NX2+]#[CX1-]),$([NX2]#[CX1])]",*C
773,Sulfuric acid derivatives,[!#1!#6][Sv6X4](=[OX1])(=[OX1])[!#1!#6],*S(*)(=O)=O
774,Sulfuric acid,"[OH1,O-][Sv6X4](=[OX1])(=[OX1])[OX2,O-]",*S(*)(=O)=O
775,Sulfuric acid monoesters,"[#6][OX2][Sv6X4](=[OX1])(=[OX1])[OH1,O-]",*S(=O)(=O)OC
776,Sulfuric acid diesters,[#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6],COS(=O)(=O)OC
777,Sulfuric acid amide esters,[#6][OX2][Sv6X4](=[OX1])(=[OX1])N,COS(N)(=O)=O
778,Sulfuric acid amides,"[OH1,O-][Sv6X4](=[OX1])(=[OX1])N",*S(N)(=O)=O
