,Len,Functional grp name,SMARTS,Smiles,Validity
255,6,Tertiary aliphatic amines,"[NX3]([CX4&!$([CX4]([NX3])[O,S,N,P])])([CX4&!$([CX4]([NX3])[O,S,N,P])])[CX4&!$([CX4]([NX3])[O,S,N,P])]",CN(C)C,Valid
256,5,Organolithium compounds,[Li][#6],[Li]C,Valid
257,5,Organomagnesium compounds,[Mg][#6],C[Mg],Valid
258,7,Carboxylic acid imides,[CX3](=[OX1])[NX3][CX3](=[OX1]),O=CNC=O,Valid
259,10,Carboxylic acid unsubstituted imides,[CX3](=[OX1])[NX3H1][CX3](=[OX1]),O=C[NH]C=O,Valid
260,7,Carboxylic acid substituted imides,[CX3](=[OX1])[NX3H0][CX3](=[OX1]),O=CNC=O,Valid
261,11,Carbonic acid monoesters,"[OH1][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",COC(=O)[OH],Valid
262,9,Carbonic acid diesters,"[#6&!$([CX3]=[OX1,SX1,NX2])][OX2][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",COC(=O)OC,Valid
263,10,Carbamic acid,[OH1][CX3](=[OX1])[NX3],NC(=O)[OH],Valid
264,13,Sulfuric acid diesters,[#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6],COS(=O)(=O)OC,Valid
265,12,Sulfuric acid amide esters,[#6][OX2][Sv6X4](=[OX1])(=[OX1])N,COS(N)(=O)=O,Valid
266,11,Sulfuric acid diamides,N[Sv6X4](=[OX1])(=[OX1])N,NS(N)(=O)=O,Valid
267,8,Sulfinic acid esters,[#6][Sv4X3](=[OX1])[OX2][#6],COS(C)=O,Valid
268,7,Sulfinic acid amides,"[#6][Sv4X3](=[OX1])[NX3&!$([NX3][CX3]=[OX1,SX1,NX2])]",CS(N)=O,Valid
269,6,Sulfenic acids,"[#6&!$([CX3]=[SX1,OX1,NX2])][Sv2X2][OH1]",CS[OH],Valid
270,4,Sulfenic acid esters,"[#6&!$([CX3]=[SX1,OX1,NX2])][Sv2X2][OX2][#6]",COSC,Valid
271,7,Sulfenic acid amides,"[#6&!$([CX3]=[SX1,OX1,NX2])][Sv2X2][NX3]([#6&!$([CX3]=[OX1,SX1,NX2])])[#6&!$([CX3]=[OX1,SX1,NX2])]",CSN(C)C,Valid
272,5,Alkylthiols,"[C&!$([CX3]=[OX1,SX1,N,C])&!$(C#N)][Sv2H1]",C[SH],Valid
273,5,Thiophenols,c[Sv2H1],c[SH],Valid
274,13,Phosphoric acids,[OX1]=[Pv5X4]([OH1])([O])[O],OP(O)(=O)[OH],Valid
275,13,Phosphonic acids,[OX1]=[Pv5X4]([#6])([OH1])O,CP(O)(=O)[OH],Valid
276,6,Phosphines,[Pv3X3]([#6])([#6])[#6],CP(C)C,Valid
277,10,Phosphinoxides,[Pv5X4](=[OX1])([#6])([#6])[#6],CP(C)(C)=O,Valid
278,12,"α, β-Unsaturated carboxylic acids",[OH1][CX3](=[OX1])[CX3]=[CX3],C=CC(=O)[OH],Valid
279,6,"Conjugated alkadienes (1,3-alkadienes)",[CX3]=[CX3][CX3]=[CX3],C=CC=C,Valid
280,7,"Unconjugated alkadienes (1,4-alkadienes)",[CX3]=[CX3][CX4][CX3]=[CX3],C=CCC=C,Valid
281,7,Alkynyl alcohols,[CX2]#[CX2][OH1],C#C[OH],Valid
282,7,Alkynyl thiols,[CX2]#[CX2][SH1],C#C[SH],Valid
283,21,phos_serine_warhead,NC(COP(O)(O)=O)C(O)=O,NC(COP(O)(O)=O)C(O)=O,Valid
284,24,phos_threonine_warhead,NC(C(C)OP(O)(O)=O)C(O)=O,CC(OP(O)(O)=O)C(N)C(O)=O,Valid
285,31,phos_tyrosine_warhead,NC(Cc1ccc(OP(O)(O)=O)cc1)C(O)=O,NC(Cc1ccc(OP(O)(O)=O)cc1)C(O)=O,Valid
286,10,sulphonyl_cyanide,S(=O)(=O)C#N,N#CS(=O)=O,Valid
287,14,trifluoroacetate_thioester,C(F)(F)(F)C(=O)S,O=C(S)C(F)(F)F,Valid
288,5,hydroxamate_warhead,C([N;H1]([O;D1]))=O,ONC=O,Valid
289,12,thiol_warhead,NC(C[S;D1])C(O)=O,NC(CS)C(O)=O,Valid
290,6,acyl_cyanide,C(=O)-C#N,N#CC=O,Valid
291,25,pentafluorophenylester,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),O=COc1c(F)c(F)c(F)c(F)c1F,Valid
292,10,acyl_imidazole,"[C;!$(C-N)](=O)n1[c;H1,$([#6]([*;!R]))]n[c;H1,$(c([*;!R]))][c;H1,$(c([*;!R]))]1",O=Cn1ccnc1,Valid
293,16,ortho_hydroiminoquinone,c1c([N;D1])c([N;D1])c[cH1][cH1]1,Nc1c[cH][cH]cc1N,Valid
294,3,phosphorus_phosphorus_bond,P~P,P~P,Valid
295,10,acyl_pyrazole,"[C;!$(C-N)](=O)n1n[c;H1,$(c([*;!R]))][c;H1,$(c([*;!R]))][c;H1,$(c([*;!R]))]1",O=Cn1cccn1,Valid
296,12,acyl_123_triazole,"[#7;R1]1=,:[#7;R1]-,:[#7;R1](-C(=O))-,:[#6]=,:[#6]1",O=CN1C=CN=N1,Valid
297,7,alpha_dicarbonyl,C(=O)!@C(=O),O=C~C=O,Valid
298,14,trifluoroacetate_ester,C(F)(F)(F)C(=O)O,OC(=O)C(F)(F)F,Valid
299,2,sulf_D2_nitrogen,[S;D2](-[N;!$(N(=C));!$(N(-S(=O)(=O)));!$(N(-C(=O)))]),NS,Valid
300,18,triflate,OS(=O)(=O)(C(F)(F)(F)),OS(=O)(=O)C(F)(F)F,Valid
301,15,rhodanine,C(=C)1SC(=S)NC(=O)1,C=C1SC(=S)NC1=O,Valid
302,5,NO_phosphonate,P(=O)ON,NOP=O,Valid
303,3,azo_filter3,[N;!R]-[N;!R]-[N;!R],NNN,Valid
304,30,disulfonyliminoquinone,S(=O)(=O)N=C1C=CC(=NS(=O)(=O))C=C1,O=S(=O)N=C1C=CC(=NS(=O)=O)C=C1,Valid
305,28,perchloro_cp,C1(Cl)(Cl)C(Cl)C(Cl)=C(Cl)C1(Cl),ClC1C(Cl)=C(Cl)C(Cl)C1(Cl)Cl,Valid
306,20,meldrums_acid_deriv,O=C1OC(C)(C)OC(C1)=O,CC1(C)OC(=O)CC(=O)O1,Valid
307,2,sulf_D2_oxygen_D2,[S;D2][O;D2],OS,Valid
308,3,azo_filter2,[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)],NNN,Valid
309,2,hydrazine,[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]-[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))],NN,Valid
310,10,isonitrile,[N+]#[C-],[C-]#[NH+],Valid
311,14,gte_3_COOH,C(=O)[O;D1].C(=O)[O;D1].C(=O)[O;D1],OC=O.OC=O.OC=O,Valid
312,3,phosphorus_sulfur_bond,P~S,P~S,Valid
313,9,polyene,C=[C;!R][C;!R]=[C;!R][C;!R]=[C;!R],C=CC=CC=C,Valid
314,4,azo_amino,[N]=[N;!R]-[N],N=NN,Valid
315,7,nitrone,[C;!R]=[N+][O;D1],C=[N+]O,Valid
316,1,sulfonium,[S+;X3;$(S-C);!$(S-[O;D1])],S,Valid
317,3,polysulfide,[S;D2]-[S;D2]-[S;D2],SSS,Valid
318,6,acrylate,[CH2]=[C;!$(C-N);!$(C-O)]C(=O),C=CC=O,Valid
319,15,four_nitriles,C#N.C#N.C#N.C#N,C#N.C#N.C#N.C#N,Valid
320,3,phosphorane,C=P,C=P,Valid
321,20,gte_7_aliphatic_OH,C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1],CO.CO.CO.CO.CO.CO.CO,Valid
322,9,gte_2_free_phos,P([O;D1])=O.P([O;D1])=O,OP=O.OP=O,Valid
323,22,benzidine_like,c([N;!+])1ccc(c2ccc([N;!+])cc2)cc1,Nc1ccc(c2ccc(N)cc2)cc1,Valid
324,9,hydrazothiourea,[N;!R]=NC(=S)N,NC(=S)N=N,Valid
325,4,nitrosamine,N-[N;X2](=O),NN=O,Valid
326,10,gte_10_carbon_sb_chain,[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R]-[C;!R],CCCCCCCCCC,Valid
327,10,betalactam,C1(=O)~[#6]~[#6]N1,O=C1NC~C~1,Valid
328,3,peroxide,[#8]~[#8],O~O,Valid
329,18,paraquat_like,[#6]1[#6][#6]([#6]2[#6][#6][#7;+][#6][#6]2)[#6][#6][#7;+]1,C1CC(C2CCNCC2)CCN1,Valid
330,5,azo_aryl,c[N;!R;!+]=[N;!R;!+]-c,cN=Nc,Valid
331,2,disulfide_acyclic,[S;!R;X2]-[S;!R;X2],SS,Valid
332,5,gte_3_iodine,[#53].[#53].[#53],I.I.I,Valid
333,17,porphyrin,"[#6;r16,r17,r18]~[#6]1~[#6]~[#6]~[#6](~[#6])~[#7]1",C~C1N~C(~C)~C~C~1,Valid
334,7,thio_xanthate,[S;!R]-[C;!R](=[S;!R])(-[S;!R]),S=C(S)S,Valid
335,13,double_trouble_warhead,NC(C[S;D1])C([N;H1]([O;D1]))=O,NC(CS)C(=O)NO,Valid
336,13,Hzone_phenol_A,c1ccc(c(c1)[#8!H0])[#6]=[#7][#7],NN=Cc1ccccc1O,Valid
337,3,Azo_A,[N!R]=N,N=N,Valid
338,14,Mannich_A,N[CX4]c1c([OH1])cccc1,NCc1ccccc1[OH],Valid
339,15,Ene_rhod_A,N1C(=S)SC(=C)C1=O,C=C1SC(=S)NC1=O,Valid
340,18,Hzone_phenol_B,c1(ccc(cc1)C=N[#7])[OH1],NN=Cc1ccc([OH])cc1,Valid
341,20,Imine_one_isatin,[OX1]=C2C(=;!@N[#7])c3c(cccc3)N2,NN=C1C(=O)Nc2ccccc21,Valid
342,18,Anil_di_alk_B,c1c(ccc(c1)[#6]=[#6])[#7]([CX4])[CX4],CN(C)c1ccc(C=C)cc1,Valid
343,16,Catechol_A,c1ccc(c(c1)[OH1])[OH1],[OH]c1ccccc1[OH],Valid
344,21,Ene_five_one_A,c2ccc1C(=[OX1])C(=C)C(=[OX1])c1c2,C=C1C(=O)c2ccccc2C1=O,Valid
345,12,Ene_five_het_B,C1(=C)C(N=CS1)=O,C=C1SC=NC1=O,Valid
346,15,Ene_five_het_D,C1(=C)C(=[OX1])NNC1=[OX1],C=C1C(=O)NNC1=O,Valid
347,27,Ene_five_het_F,c1(ccccc1)[C!H0]=!@C2C(=[OX1])c5c(cccc5)S2,O=C1C(=Cc2ccccc2)Sc2ccccc21,Valid
348,20,Ene_one_ester,[#6][#6](=[#8])[#6!H0]=[#6]([#7!H0][#6])[#6](=[#8])[#8][#6],CNC(=CC(C)=O)C(=O)OC,Valid
349,18,Ene_one_D,c([OH1])c-C(=[OX1])[C!H0]=C([#6])[#6],CC(C)=CC(=O)cc[OH],Valid
350,19,Ene_cyano_A,[#6](C#[#7])(C#[#7])=Cc1ccccc1,N#CC(=Cc1ccccc1)C#N,Valid
351,21,Hzone_pyrrol,n1(C)[cH1][cH1][cH1]c1C=NN,Cn1[cH][cH][cH]c1C=NN,Valid
352,45,Hzone_acyl_naphthol,[cH]1[cH][cH][cH]c2c1[cH]c(C(=[OX1])[N!H0]N=C)c([OH1])[cH]2,C=NNC(=O)c1[cH]c2[cH][cH][cH][cH]c2[cH]c1[OH],Valid
353,19,Keto_keto_beta_A,c1ccc2C(=[OX1])[CX4]C(=[OX1])c2c1,O=C1CC(=O)c2ccccc21,Valid
354,22,Cyano_ene_amine_A,C(C#[NX1])(C#[NX1])C([NH2])=CC#[NX1],N#CC=C([NH2])C(C#N)C#N,Valid
355,20,Cyano_imine_B,C(C#[NX1])(C#[NX1])=N[N!H0]c1ccccc1,N#CC(C#N)=NNc1ccccc1,Valid
356,20,Anil_alk_ene,c1ccc4c(c1)NCC9C4C=CC9,C1C=CC2C1CNc1ccccc12,Valid
357,21,Amino_acridine_A,c1cccc5c1c(c8c(n5)cccc8)[#7],Nc1c2ccccc2nc2ccccc12,Valid
358,13,Thiophene_hydroxy,"[#16]1-,:[#6]=,:[#6]-,:[#6](=,:[#6]1)[OH1]",[OH]C1=CSC=C1,Valid
359,25,Sulfonamide_B,c1c(ccc(c1)[NH]S(=[OX1])=[OX1])[OH1],O=S(=O)[NH]c1ccc([OH])cc1,Valid
360,7,Thio_ketone,"[#6]-,:[CX3](=[SX1])-,:[#6]",CC(C)=S,Valid
361,13,Rhod_sat_A,"[#7]1-,:[#6](=[#16])-,:[#16]-,:[#6X4]-,:[#6]1=[#8]",O=C1CSC(=S)N1,Valid
362,20,Imine_one_sixes,C1(C(=[OX1])NC(=[OX1])NC1(=[OX1]))=N,N=C1C(=O)NC(=O)NC1=O,Valid
363,22,Naphth_amino_A,"c1ccc4c5c(cccc15)[#7]=,:[#6]-,:[#7]4",C1=Nc2cccc3cccc(c23)N1,Valid
364,21,Naphth_amino_B,c1ccc4c5c(cccc15)[N!H0][CX4][N!H0]4,C1Nc2cccc3cccc(c23)N1,Valid
365,21,Anthranil_acid_A,c1(C(=[OX1])[OH1])c([N!H0]N=C)cccc1,C=NNc1ccccc1C(=O)[OH],Valid
366,34,Dhp_bis_amino_CN,[NH2]C1=C(C#[NX1])[C!H0](-cc)C(C#[NX1])=C([NH2])S1,ccC1C(C#N)=C([NH2])SC([NH2])=C1C#N,Valid
367,46,Anthranil_acid_E,C1(=[OX1])C(=[CH][NH]c2c(C(=[OX1])[OH1])cccc2)N=C(c3ccccc3)O1,O=C1OC(c2ccccc2)=NC1=[CH][NH]c1ccccc1C(=O)[OH],Valid
368,31,Anthranil_acid_F,c1([OH1])ccc([N!H0]C(=[OX1])cc)c(c1)C(=[OX1])[OH1],ccC(=O)Nc1ccc([OH])cc1C(=O)[OH],Valid
369,31,Anthranil_acid_H,"c1ccc4c(c1C(=[OX1])[OH1])[#7!H0]-,:[#6](=,:[#6]4cc)cc",ccC1=C(cc)c2cccc(C(=O)[OH])c2N1,Valid
370,51,Anthranil_acid_I,c1(oc([#6])[cH][cH]1)C(=[OX1])[N!H0]c1[cH][cH][cH][cH]c1(C(=[OX1])[OH1]),Cc1[cH][cH]c(C(=O)Nc2[cH][cH][cH][cH]c2C(=O)[OH])o1,Valid
371,25,Anthranil_acid_J,[N!H0](cc)c5c(C(=[OX1])[OH1])ccc(n5)-cc,ccNc1nc(-cc)ccc1C(=O)[OH],Valid
372,36,Anthranil_amide_A,c1ccccc1C(=[OX1])[N!H0]c2ccccc2C(=[OX1])[N!H0][N!H0]c3nccs3,O=C(Nc1ccccc1C(=O)NNc1nccs1)c1ccccc1,Valid
373,14,Azulene,c1ccc4c(cc1)ccc4,c1ccc2cccc2cc1,Valid
374,27,Anil_alk_indane,c1(ccc4c(C6Cc8c(C6N4)cccc8)c1)[CX4],Cc1ccc2c(c1)C1Cc3ccccc3C1N2,Valid
375,72,Anil_di_alk_M,[cH]1c([cH]nc7c1[cH][cH][cH][cH]7)[CH2]N2c3c([CH2][CH2]2)[cH][cH][cH][cH]3,[cH]1[cH][cH]c2c([cH]1)[CH2][CH2]N2[CH2]c1[cH]nc2[cH][cH][cH][cH]c2[cH]1,Valid
376,39,Anil_di_alk_N,c12[cH][cH][cH][cH]c1[C!H0]=[C!H0]C3C(C#[NX1])[CH2][C!H0]N23,N#CC1[CH2]CN2C1C=Cc1[cH][cH][cH][cH]c12,Valid
377,24,Anil_NH_alk_C,[C!H0][N!H0]c1[cH][cH][cH][cH]c1[N!H0][C!H0],CNc1[cH][cH][cH][cH]c1NC,Valid
378,27,Anil_NH_no_alk_A,n1[cH]c([NH2])[cH][cH]c1([N!H0]cc),ccNc1[cH][cH]c([NH2])[cH]n1,Valid
379,40,Anil_OH_alk_A,c1ccccc1[CH2][N!H0]c2[cH][cH]c([OH1])[cH][cH]2,[OH]c1[cH][cH]c(N[CH2]c2ccccc2)[cH][cH]1,Valid
380,32,Anil_OH_no_alk_A,[NH2]c1c([OH1])cc(S(=[OX1])(=[OX1])[OH1])cc1,[NH2]c1ccc(S(=O)(=O)[OH])cc1[OH],Valid
381,45,Anil_OH_no_alk_B,c1([NH2])c([OH1])c(C=[OX1])[cH]c2[cH][cH][cH][cH]c12,[NH2]c1c([OH])c(C=O)[cH]c2[cH][cH][cH][cH]c12,Valid
382,38,Anil_OC_no_alk_B,c1ccc4c(c1Oc8[cH][cH]c([cH][cH]8)[N!H0])cccc4,Nc1[cH][cH]c(Oc2cccc3ccccc23)[cH][cH]1,Valid
383,21,Anil_OC_no_alk_C,[NH2]c1ncccc1O[CH2]cc,cc[CH2]Oc1cccnc1[NH2],Valid
384,39,Anil_no_alk_A,"[NH2]c1c(N=[#6]2-,:[#6!H0]=,:[#6]~[#6]~[#6]=,:[#6]2)[cH][cH][cH][cH]1",[NH2]c1[cH][cH][cH][cH]c1N=C1C=C~C~C=C1,Valid
385,27,Amino_acridine_B,c1cccc5c1cc8c(n5)nc2c(c8[#7])cccc2,Nc1c2ccccc2nc2nc3ccccc3cc12,Valid
386,31,Hzone_anil,c1([cH][cH]c([NH2])[cH][cH]1)C=N[N!H0],NN=Cc1[cH][cH]c([NH2])[cH][cH]1,Valid
387,34,Hzone_anthran_Z,c1cccc5c1cc8c(c5C=N[N!H0]c2ccccc2)cccc8,C(=NNc1ccccc1)c1c2ccccc2cc2ccccc12,Valid
388,52,Hzone_acyl_misc_B,n1[cH][cH][cH][cH]c1C(=[OX1])[N!H0]N=[C!H0]c2c(O[CH2]C(=[OX1])[OH1])cccc2,O=C([OH])[CH2]Oc1ccccc1C=NNC(=O)c1[cH][cH][cH][cH]n1,Valid
389,25,Het_5_A,N1(c2ccccc2)N=C(C=[OX1])[CX4]C1=[OX1],O=CC1=NN(c2ccccc2)C(=O)C1,Valid
390,30,Het_5_B,N1(c2ccccc2)N=C([N!H0]C=[OX1])[CH2]C1=[OX1],O=CNC1=NN(c2ccccc2)C(=O)[CH2]1,Valid
391,18,Het_6_imidate_A,"N=[#6]1-,:[#7!H0]-,:[#6]([N!H0])=,:[#6]([N!H0])-,:[#7]=,:[#7]1",NC1=C(N)N=NC(=N)N1,Valid
392,46,Het_6_imidate_B,[N!H0](c1[cH][cH][cH][cH]c1[OH1])C2N=NC(=[#7])OC([NH2])=2,N=C1N=NC(Nc2[cH][cH][cH][cH]c2[OH])=C([NH2])O1,Valid
393,18,Het_6_pyridone_OH,[OH1]c2nc([OH1])ccc2,[OH]c1cccc([OH])n1,Valid
394,22,Het_6_hydropyridone,C1([N!H0])=N[C!H0](cc)[CH2]C(=[OX1])[N!H0]1,ccC1[CH2]C(=O)NC(N)=N1,Valid
395,34,Het_55_A,cc-n1nc2[CH2][SX2][CH2]c2c1[N!H0]C(=[OX1])[C!H0]=[C!H0],cc-n1nc2c(c1NC(=O)C=C)[CH2]S[CH2]2,Valid
396,18,Het_55_B,c1cOC2[CH2]C(=[OX1])OC12,O=C1[CH2]C2OccC2O1,Valid
397,46,Het_65_E,S1C(=C(C4=C1[N!H0]C(C(=[C!H0]4)C(=[OX1])[OH1])=[OX1])[NH2])C(=[OX1])[N!H0],NC(=O)C1=C([NH2])C2=C(NC(=O)C(C(=O)[OH])=C2)S1,Valid
398,39,Het_65_G,"[CH2]1C(=[OX1])[#7]2-,:[#7]=,:[#6]([NH2])-,:[#6]([NH2])=,:[#6]2N=C1[#6]",CC1=NC2=C([NH2])C([NH2])=NN2C(=O)[CH2]1,Valid
399,32,Het_65_H,"[#6]1(=,:[#6]2-,:[#7](-,:[#6](-,:[#6]=,:[#6]-,:[#7]2)=[OX1])-,:[#7]=,:[#6]1[#6]3-,:[#7]-,:[#6]=,:[#6]-,:[#6]=,:3)C#[NX1]",N#CC1=C2NC=CC(=O)N2N=C1C1=CC=CN1,Valid
400,34,Het_65_I,c1(C(~[#8])~[#8])ccn2c(c1)cc(-cc)c2C(=[OX1])-cc,ccC(=O)c1c(-cc)cc2cc(C(~O)~O)ccn12,Valid
401,17,Het_65_K,N1=NNN=C2C=CC=C12,C1=CC2=NNN=NC2=C1,Valid
402,29,Het_65_L,"c12[cH]sc(C=[OX1])c2-,:[#6](=[OX1])-,:[#7]-,:[#7]=,:[#6]1[NH2]",[NH2]C1=NNC(=O)c2c1[cH]sc2C=O,Valid
403,21,Het_65_Da,N1=C([#6])C2=CC=CC2=C([#6])N1,CC1=NNC(C)=C2C=CC=C12,Valid
404,29,Het_65_Db,n1ccccc1C2=C(N[#6])N1C(=N2)C=CC=C1,CNC1=C(c2ccccn2)N=C2C=CC=CN21,Valid
405,48,Het_65_imidazole,"[#6]1(=,:[#7]c3[cH][cH][cH][cH]c3n1[#6])[N!H0]C(=[OX1])[N!H0]c2[cH]ccc[cH]2",Cn1c2[cH][cH][cH][cH]c2N=C1NC(=O)Nc1[cH]ccc[cH]1,Valid
406,48,Het_65_mannich,[cH]1[cH]c2O[CH2]Oc2c([cH]1)[CH2]N2[CH2][CH2]cc2,c1cN([CH2]c2[cH][cH][cH]c3c2O[CH2]O3)[CH2][CH2]1,Valid
407,22,Het_66_A,c1ccc7c(c1)nnc(n7)[CH2]C=[OX1],O=C[CH2]c1nnc2ccccc2n1,Valid
408,38,Het_66_D,c1ccc7c(c1)nc(c(n7)[CH2]C(=[OX1])cc)[CH2]C(=[OX1])cc,ccC(=O)[CH2]c1nc2ccccc2nc1[CH2]C(=O)cc,Valid
409,34,Het_66_E,c1ccc4c(c1)nc(c(n4)c2ccccc2)c7c(cccc7)[OH1],[OH]c1ccccc1c1nc2ccccc2nc1c1ccccc1,Valid
410,45,Het_76_A,s1[cH][cH][cH]c1C2[N!H0]N=C(c4ccncc4)c3c(cccc3)N=2,c1ccc2c(c1)N=C(c1[cH][cH][cH]s1)NN=C2c1ccncc1,Valid
411,19,Het_465_misc,c1c4CCc4cc2OCOc12,C1Oc2cc3c(cc2O1)CC3,Valid
412,33,Het_565_A,c1n([#6])c2c3ncnc3c([OH1])[cH]c2c1C=[OX1],Cn1cc(C=O)c2[cH]c([OH])c3ncnc3c21,Valid
413,22,Het_666_A,"[#7]1-,:c2c(-,:[#6](=N)c6ccccc16)cccc2",N=C1c2ccccc2Nc2ccccc21,Valid
414,28,Het_6666_A,c1ccc4c(c1)nc8c(n4)ccc5c8cccc5,c1ccc2c(c1)ccc1nc3ccccc3nc12,Valid
415,18,Het_thio_5_B,C1(C=[OX1])(cc)[SX2]C=N[NH]1,ccC1(C=O)[NH]N=CS1,Valid
416,14,Het_thio_5_imine_A,[#7]=C1SC(=[#7])N=C1,N=C1C=NC(=N)S1,Valid
417,20,Het_thio_5_imine_C,S1C(=N[N!H0])SC(=N-cc)C1=N-cc,ccN=C1SC(=NN)SC1=Ncc,Valid
418,13,Het_thio_6_ene,c1cN=CC(=CN[#6])S1,CNC=C1C=NccS1,Valid
419,26,Het_thio_65_B,"[N!H0][#6]3=,:[#7]-,:[#6](=,:[#7]-,:[#6]7=,:[#7]-,:[#7]=,:[#6](-,:[#7]37)S[#6])[N!H0][#6]",CNC1=NC2=NN=C(SC)N2C(N)=N1,Valid
420,42,Het_thio_66_A,c1ccc2[CH2][CH2]N=C(c2c1)[SX2][CH2]C(=[OX1])c2ccccc2,O=C([CH2]SC1=N[CH2][CH2]c2ccccc21)c1ccccc1,Valid
421,18,Het_thio_66_one,"c1cccc2c1-,:[#16]-,:[#6](C=[OX1])=,:[#6]-,:[#7]2",O=CC1=CNc2ccccc2S1,Valid
422,41,Het_thio_656a,n1nc(S[CH2]C=[OX1])nc2c1c3c(n2[CH2][CH]=[CH2])cccc3,C=[CH][CH2]n1c2ccccc2c2nnc(S[CH2]C=O)nc21,Valid
423,48,Het_thio_656b,CC(=[OX1])[CH2][SX2]c1nc2[nH]c3[cH][cH][cH][cH]c3c2nn1,CC(=O)[CH2]Sc1nnc2c(n1)[nH]c1[cH][cH][cH][cH]c12,Valid
424,52,Het_thio_676_B,[CH2]1Sc2[cH][cH][cH][cH]c2C(Occ)c3[cH][cH][cH][cH]c13,ccOC1c2[cH][cH][cH][cH]c2[CH2]Sc2[cH][cH][cH][cH]c21,Valid
425,10,Het_thio_N_5A,N=C1N=CNS1,N=C1N=CNS1,Valid
426,22,Het_thio_N_5D,"[#7]1=,:[#7]-,:[#16]-,:[#6]=,:[#6]1-[#6]2-,:[#8]-,:[#7]=,:[#6](-cc)-,:[#7]=,:2",ccC1=NOC(C2=CSN=N2)=N1,Valid
427,16,Het_thio_N_65A,c1cC2=C(SNC2=S)CN1,S=C1NSC2=C1ccNC2,Valid
428,19,Het_thio_urea_ene,[OX1]=CC1=NN(cc)C(=[C!H0]cc)S1,ccC=C1SC(C=O)=NN1cc,Valid
429,44,Het_pyraz_misc,C(F)(F)C(=[OX1])[N!H0]c1[cH]n([CH2][CH2]O[CH2]-cc)n[cH]1,cc[CH2]O[CH2][CH2]n1[cH]c(NC(=O)C(F)F)[cH]n1,Valid
430,24,Styrene_A,C1Cc3ccccc3C(c5c1cccc5)=CC,CC=C1c2ccccc2CCc2ccccc21,Valid
431,26,Styrene_C,"c1ccc4c(c1)C([#6]8=,:[#6](SC4)-,:[#16]-,:[#6]=,:[#6]8)=C",C=C1C2=C(SCc3ccccc31)SC=C2,Valid
432,29,Styrene_anil_A,c1ccc7c(c1)C(c2c7ccc(c2)[NH2])=[C!H0][#6],CC=C1c2ccccc2c2ccc([NH2])cc21,Valid
433,30,Styrene_imidazole_A,C(=[C!H0][CH2]n1[cH]n[cH][cH]1)(-cc)-cc,ccC(=C[CH2]n1[cH][cH]n[cH]1)cc,Valid
434,33,Ene_cyano_B,[NH2]c1nc2C(C#[NX1])=CC(=C)c2cc1C#[NX1],C=C1C=C(C#N)c2nc([NH2])c(C#N)cc21,Valid
435,15,Ene_cyano_C,C=C(C#[NX1])C(=[NH])NN,C=C(C#N)C(=N)NN,Valid
436,15,Ene_cyano_D,C(C#[NX1])(C#[NX1])=C(S)S,N#CC(C#N)=C(S)S,Valid
437,12,Ene_cyano_E,[OX1]=C[C!H0]=C(C#[NX1])[#6],CC(=CC=O)C#N,Valid
438,65,Ene_cyano_F,[OH1]C(=[OX1])c1c([OH1])[cH]c([cH][cH]1)-c2[cH][cH]c(o2)[C!H0]=C(C#[NX1])-c3nccn3,N#CC(=Cc1[cH][cH]c(-c2[cH][cH]c(C(=O)[OH])c([OH])[cH]2)o1)c1nccn1,Valid
439,25,Ene_cyano_G,"[#7]1([#6])-,:[#6!H0]=,:[#6!H0]-,:[#6!H0]=,:[#6]1[C!H0]=C(C#[NX1])c2nccs2",CN1C=CC=C1C=C(C#N)c1nccs1,Valid
440,12,Ene_five_het_H,N1=CC(C(N1)=S)=C,C=C1C=NNC1=S,Valid
441,23,Ene_five_het_J,"S=[#6]1-,:[#7!H0]-,:[#6]=,:[#6]-,:[#6]2=,:[#6]1C(=[OX1])OC2=[C!H0]",C=C1OC(=O)C2=C1C=CNC2=S,Valid
442,24,Ene_five_het_L,[OX1]=C1C(=!@[C!H0]c3ccnc3)c2c(cccc2)N1,O=C1Nc2ccccc2C1=Cc1ccnc1,Valid
443,47,Ene_six_het_B,"c2ccccc2C(=[OX1])[C!H0]=[#6]1-,:[#6](=[OX1])-,:[#7H]-,:[#6](=[OX1])-,:[#6](=[CH]c3ccccc3)-,:[#7!H0]1",O=C1[NH]C(=O)C(=[CH]c2ccccc2)NC1=CC(=O)c1ccccc1,Valid
